go-here-to-vertex 0 ; time=0.00
call all ; time=0.00
go-here-to-vertex 10 ; time=0.00
direct workers 1 to treasure 5 ; time=7.00
go-here-to-vertex 10 ; time=7.00
direct workers 1 to treasure 4 ; time=7.00
go-here-to-vertex 10 ; time=7.00
direct workers 15 to treasure 32 ; time=7.00
go-here-to-vertex 10 ; time=7.00
direct workers 15 to treasure 33 ; time=7.00
go-here-to-vertex 11 ; time=7.00
direct workers 1 to treasure 7 ; time=9.00
go-here-to-vertex 11 ; time=9.00
direct workers 3 to treasure 17 ; time=9.00
go-here-to-vertex 11 ; time=9.00
direct workers 1 to treasure 6 ; time=9.00
go-here-to-vertex 11 ; time=9.00
direct workers 10 to treasure 25 ; time=9.00
go-here-to-vertex 7 ; time=9.00
direct workers 3 to treasure 15 ; time=15.00
go-here-to-vertex 0 ; time=15.00
wait-workers 1 ; time=18.00
call all ; time=21.00
go-here-to-vertex 1 ; time=21.00
direct workers 3 to treasure 11 ; time=24.00
go-here-to-vertex 3 ; time=24.00
direct workers 1 to treasure 3 ; time=26.00
go-here-to-vertex 3 ; time=26.00
direct workers 3 to treasure 12 ; time=26.00
go-here-to-vertex 3 ; time=26.00
direct workers 5 to treasure 19 ; time=26.00
go-here-to-vertex 5 ; time=26.00
direct workers 3 to treasure 13 ; time=28.00
go-here-to-vertex 5 ; time=28.00
direct workers 1 to treasure 2 ; time=28.00
go-here-to-vertex 5 ; time=28.00
direct workers 3 to treasure 14 ; time=28.00
go-here-to-vertex 4 ; time=28.00
direct workers 5 to treasure 20 ; time=32.00
go-here-to-vertex 4 ; time=32.00
direct workers 10 to treasure 22 ; time=32.00
go-here-to-vertex 8 ; time=32.00
direct workers 1 to treasure 30 ; time=36.00
go-here-to-vertex 0 ; time=36.00
call all ; time=43.00
go-here-to-vertex 9 ; time=43.00
direct workers 5 to treasure 21 ; time=48.00
go-here-to-vertex 9 ; time=48.00
direct workers 3 to treasure 18 ; time=48.00
go-here-to-vertex 13 ; time=48.00
direct workers 10 to treasure 24 ; time=52.00
go-here-to-vertex 13 ; time=52.00
direct workers 3 to treasure 16 ; time=52.00
go-here-to-vertex 13 ; time=52.00
direct workers 1 to treasure 8 ; time=52.00
go-here-to-vertex 13 ; time=52.00
direct workers 1 to treasure 9 ; time=52.00
go-here-to-vertex 2 ; time=52.00
direct workers 3 to treasure 10 ; time=66.00
go-here-to-vertex 2 ; time=66.00
direct workers 1 to treasure 1 ; time=66.00
go-here-to-vertex 1 ; time=66.00
direct workers 1 to treasure 0 ; time=68.00
go-here-to-vertex 0 ; time=68.00
call all ; time=71.00
go-here-to-vertex 8 ; time=71.00
direct workers 1 to treasure 27 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 15 to treasure 34 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 15 to treasure 35 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 1 to treasure 28 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 10 to treasure 23 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 1 to treasure 26 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 1 to treasure 31 ; time=78.00
go-here-to-vertex 8 ; time=78.00
direct workers 1 to treasure 29 ; time=78.00
go-here-to-vertex 0 ; time=78.00
call all ; time=85.00
wait-workers 6 ; time=85.00
call all ; time=92.00
wait-time 1 ; time=92.00
; Complete! time=92.00
